data;
param n   := 4;
set L := (1,2) (1,3) (1,4) (2,1) (2,3) (2,4) (3,1) (3,2) (3,4) (4,1) (4,2) (4,3);
set V := i1, o1, i2, o2, i3, o3, i4, o4;

param c := 12;

param:	w :=
 1 2	1
 1 3 	1
 1 4 	1
 2 1 	1
 2 3 	1
 2 4 	1
 3 1 	1
 3 2 	1
 3 4 	1
 4 1 	1
 4 2	1
 4 3 	1
;

param A:	i1	o1	i2	o2	i3	o3	i4	o4:=
1 2			0	1	1	0	0	0	0	0
1 3			0	1	0	0	1	0	0	0
1 4			0	1	0	0	0	0	1	0
2 1			1	0	0	1	0	0	0	0
2 3			0	0	0	1	1	0	0	0
2 4			0	0	0	1	0	0	1	0
3 1			1	0	0	0	0	1	0	0
3 2			0	0	1	0	0	1	0	0
3 4			0	0	0	0	0	1	1	0
4 1			1	0	0	0	0	0	0	1
4 2			0	0	1	0	0	0	0	1
4 3			0	0	0	0	1	0	0	1
;


param:	Y :=
i1	33
o1	38
i2	37
o2	38
i3	36
o3	40
i4	41
o4	31
;

param:	s :=
1 2		10
1 3		5
1 4		9
2 1		9
2 3		14
2 4		10
3 1		13
3 2		11
3 4		7
4 1		11
4 2		10
4 3		11
;
